date,type,registration,operator,fat.,location,,pic,cat,
18525,Douglas R5D-3 (DC-4),56496,US Navy,26,near Kwajalein NA...,,,A1,Marshall Isl.
18527,Douglas C-47A (DC-3),YU-ABC,JAT,10,Malo Sljeme,,,A1,Croatia
18527,Vickers Valetta C.1,VX499,RAF,0,near Aden-Khormak...,,,A1,Yemen
18531,Fairchild C-119B Flying Boxcar,48-324,USAF,0,Nagoya-Komak...,,,O1,Japan
18532,Douglas C-47A (DC-3),VT-DAT,Air-India,,Barrackpore ...,,,A1,India
18532,Douglas C-54D (DC-4),42-72457,USAF,23,near Ashiya Air Base,,,A1,Japan
18532,Lockheed P2V Neptune,,US Navy,0,near North Korea,,,A1,North Korea
18533,Vickers 615 Viking 1B,T-8,Argentine AF,0,El Palomar A...,,,O1,Argentina
18533,Curtiss C-46D,XT-862,Civil Air Transport,0,Iwakuni MCAS,,,A1,Japan
18535,CASA 352 (Ju-52),T.2-124,Spanish AF,5,Galápagos,,,A1,Spain
18536,Grumman G-73 Mallard,N74044,Private,1,Columbus Sou...,,,A1,USA
18538,Curtiss C-46,CB-38,LAB,,Laguna Anteo...,,,U1,Bolivia
18538,Curtiss C-46F,N1661M,National Airlines,0,Washington-N...,,,A2,USA
18539,Short Sunderland GR.5,SZ569,RAF,0,"Malay Cove, ...",,,A1,Sri Lanka
18541,Bristol 170 Freighter 21,WH575,Bristol,0,Filton Airpo...,,,A2,U.K.
18541,Lisunov Li-2,CCCP-L4592,"Aeroflot, Northern",0,Rostov Airpo...,,,A1,Russia
18548,Douglas C-47A (DC-3),VH-SMH,John Fairfax & Sons,2,"Bungulla, NSW",,,A1,Australia
18548,Fairchild C-119B-10-FA Flying Boxca,49-105,USAF,3,Ashiya Air Base,,,A1,Japan
18548,Douglas C-47A (DC-3),YV-C-ARF,RANSA,0,Maracaibo-Gr...,,,A1,Venezuela
18549,Martin 2-0-2,NC93037,Northwest Orient Airlines,6,"Almelund, MN",,,A1,USA
18549,Douglas C-47A (DC-3),F-BAXM,Air Atlas,4,Casablanca,,,A1,Morocco
18549,Douglas VC-47D (DC-3),43-49041,USAF,4,"near St Claire, AL",,,A1,USA
18551,Douglas C-47A (DC-3),42-100855,USAF,4,Sea of Japan,,,A1,Pacific Ocean
18552,Lisunov Li-2,CCCP-L4532,"Aeroflot, Kazakstan",0,Alma-Ata Air...,,,A1,Kazakhstan
18553,Douglas C-47A (DC-3),G-AGIW,BEA,28,Mill Hill,,,A1,U.K.
18555,Douglas C-47B (DC-3),43-49440,USAF,,Dhahran Airp...,,,A1,Saudi Arabia
18556,Douglas C-47A (DC-3),42-92041,USAF,,"near Limestone, ME",,,A1,USA
18561,Avro 685 York C.1,MW102,RAF,0,Singapore-Ch...,,,A1,Singapore
18562,Douglas C-47B (DC-3),43-49030,USAF,4,"near Truckee, CA",,,A1,USA
18562,Douglas C-47B (DC-3),CCCP-N369,Polyarnaya Aviatsiya,0,Arctic Ice S...,,,A1,Arctic Ocean
18563,Lockheed P2V-3W Neptune,124290,US Navy,0,Tachikawa Ai...,,,A1,Japan
18567,Vickers 610 Viking 1B,G-AHPN,BEA,28,London Airpo...,,,A1,U.K.
18569,Fairchild C-119C Flying Boxcar,49-189,USAF,0,"near Bridgeport, AL",,,A1,USA
18570,Lockheed L-749 Constellation,VT-CQP,Air-India,48,Mont Blanc,,,A1,France
18571,Douglas DC-3 (R4D-1),PP-IBC,Central Aérea,0,Vitoria Da C...,,,A1,Brazil
18571,Douglas SC-47D,43-49681,USAF,,Misawa Air B...,,,A1,Japan
18572,Douglas C-47B (DC-3),A65-116,RAAF,,"Schofields, NSW",,,A1,Australia
18574,Martin 2-0-2,N93040,Northwest Orient Airlines,21,near Butte Airpor...,,,A1,USA
18575,Curtiss C-46D,CB-47,Frigorífico Cooperativo Los Andes,0,La Paz-El Al...,,,A1,Bolivia
18576,Douglas C-47D,43-49529,USAF,,Kenai Airpor...,,,A1,USA
18576,Douglas C-54D (DC-4),42-72742,USAF,3,near Pyongyang,,,A1,North Korea
18576,Fairchild C-119C Flying Boxcar,49-166,USAF,,Pusan East (...,,,A1,South Korea
18576,Douglas TS-62 (DC-3),CCCP-L1098,"Aeroflot, Krasnoyarsk",2,near Turukhansk A...,,,A1,Russia
18577,Douglas C-47 (DC-3),XB-KWZ,Federal Electricity Commission,0,,,,A1,Mexico
18578,Fairchild C-82A Packet,45-57739,USAF,4,"near Pickens, SC",,,A1,USA
18578,Douglas C-47B (DC-3),43-6017,Turkish AF,4,Emirdag,,,A1,Turkey
18580,Douglas C-54B (DC-4),CF-EDN,Curtiss Reid Flying Services,58,near Grenoble,,,A1,France
18582,Curtiss C-46,CB-48,Frigorífico Cooperativo Los Andes,0,La Paz,,,A1,Bolivia
18582,Lisunov Li-2P,YR-TAA,TARS,,Fagaras Moun...,,,A1,Romania
18583,Douglas C-47B (DC-3),NZ3549,New Zealand AF,0,near Hobsonville ...,,,A1,New Zealand
18584,Douglas C-47A (DC-3),PK-DPB,Garuda,2,Surabaya-Jua...,,,A1,Indonesia
18584,Fairchild C-82A Packet,44-23024,USAF,0,Greenville-D...,,,A1,USA
18585,Lockheed L-049 Constellation,NC86511,TWA,0,Long Beach A...,,,A2,USA
18586,Douglas C-54D (DC-4),42-72662,USAF,0,near Pyongyang Ai...,,,A1,North Korea
18588,Douglas C-47D (DC-3),43-49704,USAF,3,near Hyesanjin,,,A1,North Korea
18589,Fairchild C-82A Packet,45-57743,USAF,0,Neubiberg Ai...,,,A1,Germany
18589,Douglas DC-3C,N74586,New Tribes Mission,21,"Mount Moran, WY",,,A1,USA
18590,Douglas C-47B (DC-3),OB-PAU-201,Faucett,9,Cuzco,,,A1,Peru
18591,Curtiss C-46D,HK-330,LIDCA,0,near Medellín,,,A1,Colombia
18592,Douglas C-47A (DC-3),VT-COI,Indamer,3,near Khitokha,,,A1,Bhutan
18592,Douglas DC-3A,CU-T7,Cubana,0,near Holguín Airp...,,,A1,Cuba
18594,Lockheed P2V-2 Neptune,39340,US Navy,5,near Yokohama Bay...,,,A1,USA
18595,Douglas C-47B (DC-3),T-446,Indonesian AF,15,near Bandung,,,A1,Indonesia
18598,Douglas C-47A (DC-3),EP-AAJ,Iranian Airways,8,near Chamaran,,,A1,Iran
18598,Douglas R4D-6 (DC-3),50767,USMC,0,Hagaru-ri Ai...,,,A1,North Korea
18599,Douglas C-47D,45-949,USAF,0,near Hagaru-ri Ai...,,,A1,North Korea
18601,Vickers Valetta C.1,VW805,RAF,0,Kabrit RAF S...,,,A1,Egypt
18603,Douglas C-47B (DC-3),A65-74,RAAF,0,Su Won (K-13...,,,A1,South Korea
18605,Douglas C-54A (DC-4),F-BELB,TAI,46,near Bangui Airpo...,,,A1,C.A.R.
