date,Month,Year,type,registration,operator,Fatalities,location,cat,Country,Manufacturer,Military / Commercial
10/18/1974,10,1974,Antonov An-12B,CCCP-11030,"Aeroflot, East Siberia",1,near Yeniseysk Ai...,A1,Russia,Antonov ,C
10/18/1974,10,1974,C-115 Buffalo (DHC-5),2356,Brazilian AF,2,near Rio de Janei...,A1,Brazil,De Havilland Canada,M
10/19/1974,10,1974,Douglas C-47B (DC-3),RP-C643,Mabuhay Airways,1,near Calapan Airp...,A1,Philippines,Douglas ,C
10/20/1974,10,1974,Antonov An-2R,YR-APV,Aviatia Utilitara,1,Topraisar,A1,Romania,Antonov ,C
10/22/1974,10,1974,Douglas C-47A (DC-3),PP-FOR,Projeto Rondon,9,"Bias Fortes, MG",A1,Brazil,Douglas ,C
10/27/1974,10,1974,Lockheed L-100 Hercules,N102AK,Alaska Int. Air,4,near Old Man's Ca...,A1,USA,Lockheed ,C
10/30/1974,10,1974,Lockheed L-188PF Electra,CF-PAB,Panarctic Oils,32,near Rea Point Ai...,A1,Canada,Lockheed ,C
??-OCT-1974,10,1974,BN-2 Islander,TR-LNF,Air Inter Gabon,0,Port Gentil ...,U1,Gabon,Britten-Norman,C
11/1/1974,11,1974,Handley Page Jetstream T.1,XX477,RAF,0,Little Rissi...,A1,U.K.,Handley ,M
11/1/1974,11,1974,Antonov An-2,CCCP-70766,"Aeroflot, Tyumen",6,near Surgut,A1,Russia,Antonov ,C
11/5/1974,11,1974,Douglas C-47A (DC-3),ETI-19,Turkish AF,0,Ankara-Etime...,A1,Turkey,Douglas ,M
11/5/1974,11,1974,Tupolev Tu-104B,CCCP-42501,"Aeroflot, Far East",0,Chita Airpor...,A1,Russia,Tupolev ,C
11/5/1974,11,1974,Antonov An-2TP,CCCP-91730,"Aeroflot, West Siberia",0,Aleandrovskoye,O1,Russia,Antonov ,C
11/6/1974,11,1974,Lockheed L-188PF Electra,N7140C,Reeve Aleutian Airways,0,Anchorage In...,O1,USA,Lockheed ,C
11/6/1974,11,1974,NAMC YS-11A-320,N172RV,Reeve Aleutian Airways,0,Anchorage In...,O1,USA,NAMC ,C
11/6/1974,11,1974,Douglas C-47 (DC-3),N76,FAA,0,Anchorage In...,O1,USA,Douglas ,C
11/6/1974,11,1974,Sud-Aviation SE-210 Caravelle,,Alia,0,Benghazi,H2,Libya,Sud Aviation,C
11/7/1974,11,1974,BN-2A Islander,OY-DVJ,GAC,3,near Sønderborg,A2,Denmark,Britten-Norman,C
11/11/1974,11,1974,Douglas DC-3,TAM-34,TAM,0,near Sorato Mt.,A1,Bolivia,Douglas ,C
11/12/1974,11,1974,Douglas C-47A (DC-3),2050,Brazilian AF,7,"Tomé-Açu, PA",A1,Brazil,Douglas ,M
11/13/1974,11,1974,Nord 2501D Noratlas,6419,Portuguese AF,0,Funchal Airp...,C1,Portugal,Nord ,M
11/14/1974,11,1974,Ilyushin Il-14M,CCCP-91515,"Aeroflot, Ukraine",6,near Kiev-Zhulhya...,A1,Ukraine,Ilyushin ,C
11/15/1974,11,1974,Douglas C-47A (DC-3),RP-C570,OASIS,1,near Manila Inter...,A1,Philippines,Douglas ,C
11/15/1974,11,1974,DHC-4A Caribou,JW9015,Tanzanian AF,0,,A1,Tanzania,De Havilland Canada,M
11/20/1974,11,1974,Boeing 747-130,D-ABYB,Lufthansa,59,Nairobi Inte...,A1,Kenya,Boeing ,C
11/20/1974,11,1974,Douglas C-47A (DC-3),ET-AAR,Ethiopian Airlines,2,Soddu Airpor...,A1,Ethiopia,Douglas ,C
11/21/1974,11,1974,Dassault Falcon 20E,EP-AGX,Air Taxi Co.,2,near Kermanshah A...,A1,Iran,Dassault ,C
11/22/1974,11,1974,Cessna 500 Citation I,EC-CGG,Alpa,4,near Barcelona Ai...,A1,Spain,Cessna ,C
11/22/1974,11,1974,Vickers Super VC10-1151,G-ASGR,British Airways,1,"Dubai, Tripo...",H2,Tunisia,Vickers ,C
11/23/1974,11,1974,DC-9-32,YU-AJN,JAT,0,near Beograd Airp...,A1,Serbia,Douglas Aircraft Company,C
11/23/1974,11,1974,Boeing 727-200,,All Nippon,0,Tokyo-Haneda...,H2,Japan,Boeing ,C
11/28/1974,11,1974,Douglas C-54B (DC-4),B-1801,"China Airlines, op.for Air Cambodge",3,near An Loc,C1,Vietnam,Douglas ,C
11/29/1974,11,1974,Douglas C-54D (DC-4),FAH-799,Honduras AF,4,near Cerro de la ...,A1,Costa Rica,Douglas ,M
